"Retour au menu ""Les films les plus diffusés à la télévision""";;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
Classement des films les plus diffusés sur les chaînes nationales gratuites depuis 1957;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
titre;réalisateur(s);année de production;groupe de nationalité2;année de dernière diffusion;nb. de diffusions;dont en première partie de soirée;nb. moyen de diffusions par an;;;;;;;;;;;;;;;;;;;
DELPHINE 1-YVAN 0;FARRUGIA Dominique;1996;FRANCE;2024;75;5;2,9;;;;;;;;;;;;;;;;;;;
DOUZE TRAVAUX D ASTERIX (LES);GOSCINNY René;1975;FRANCE;2024;63;48;1,7;;;;;;;;;;;;;;;;;;;
ASTERIX ET CLEOPATRE;GOSCINNY René;1968;FRANCE;2024;62;47;1,5;;;;;;;;;;;;;;;;;;;
KIRIKOU ET LES BETES SAUVAGES;OCELOT Michel;2004;FRANCE;2021;61;23;3,6;;;;;;;;;;;;;;;;;;;
DEUX HEURES MOINS LE QUART AVANT J.C.;YANNE Jean;1982;FRANCE;2024;60;35;1,6;;;;;;;;;;;;;;;;;;;
ASTERIX LE GAULOIS;GOSCINNY René;1967;FRANCE;2024;60;43;1,4;;;;;;;;;;;;;;;;;;;
ASTERIX ET LA SURPRISE DE CESAR;BRIZZI Gaëtan;1985;FRANCE;2024;59;54;2,3;;;;;;;;;;;;;;;;;;;
ASTERIX CHEZ LES BRETONS;BRIZZI Gaëtan;1985;FRANCE;2024;58;52;2,2;;;;;;;;;;;;;;;;;;;
TINTIN ET LE LAC AUX REQUINS;CHARLIER Jean-Michel;1972;BELGIQUE / FRANCE;2024;57;24;2,0;;;;;;;;;;;;;;;;;;;
SCOUT TOUJOURS;JUGNOT Gérard;1985;FRANCE;2024;57;38;1,5;;;;;;;;;;;;;;;;;;;
TINTIN ET LE TEMPLE DU SOLEIL;LEBLANC Raymond;1969;BELGIQUE / FRANCE;2024;56;20;2,0;;;;;;;;;;;;;;;;;;;
GRAND RESTAURANT (LE);BESNARD Jacques;1966;FRANCE;2024;54;30;1,0;;;;;;;;;;;;;;;;;;;
ASTERIX ET LE COUP DU MENHIR;GRIMOND Philippe;1988;FRANCE;2024;54;48;2,1;;;;;;;;;;;;;;;;;;;
BOUGE;CORNUAU Jérôme;1997;FRANCE;2024;54;10;2,3;;;;;;;;;;;;;;;;;;;
VIE EST UN LONG FLEUVE TRANQUILLE (LA);CHATILIEZ Etienne;1987;FRANCE;2024;53;35;1,6;;;;;;;;;;;;;;;;;;;
KIRIKOU ET LA SORCIERE;OCELOT Michel;1995;FRANCE / BELGIQUE;2021;53;27;2,3;;;;;;;;;;;;;;;;;;;
SOUS DOUES (LES);ZIDI Claude;1979;FRANCE;2024;52;34;1,3;;;;;;;;;;;;;;;;;;;
ASTERIX ET LES INDIENS;HAHN Gerhard;1994;ALLEMAGNE;2024;51;45;2,0;;;;;;;;;;;;;;;;;;;
SOUS DOUES EN VACANCES (LES);ZIDI Claude;1981;FRANCE;2024;50;34;1,3;;;;;;;;;;;;;;;;;;;
FLIC OU VOYOU;LAUTNER Georges;1979;FRANCE;2024;50;33;1,3;;;;;;;;;;;;;;;;;;;
BOUM (LA);PINOTEAU Claude;1980;FRANCE;2024;48;24;1,2;;;;;;;;;;;;;;;;;;;
CERVEAU (LE);OURY Gérard;1968;FRANCE / ITALIE;2023;48;29;1,0;;;;;;;;;;;;;;;;;;;
ON L APPELLE TRINITA;CLUCHER E. B.;1971;ITALIE / FRANCE;2023;46;22;1,2;;;;;;;;;;;;;;;;;;;
GRAND BLEU (LE);BESSON Luc;1987;FRANCE;2023;46;37;1,4;;;;;;;;;;;;;;;;;;;
BANZAI;ZIDI Claude;1982;FRANCE;2024;46;32;1,2;;;;;;;;;;;;;;;;;;;
PACHA (LE);LAUTNER Georges;1967;FRANCE;2024;46;30;0,9;;;;;;;;;;;;;;;;;;;
CARTOUCHE;DE BROCA Philippe;1961;FRANCE / Italie;2024;46;18;0,9;;;;;;;;;;;;;;;;;;;
OPERATION CORNED BEEF (L');POIRE Jean-Marie;1990;FRANCE;2024;45;34;1,5;;;;;;;;;;;;;;;;;;;
RETOUR DE LA MOMIE (LE);SOMMERS Stephen;2001;ETATS UNIS;2024;45;26;2,3;;;;;;;;;;;;;;;;;;;
P R O F S;SCHULMANN Patrick;1985;FRANCE;2024;44;31;1,2;;;;;;;;;;;;;;;;;;;
HEROINES;KRAWCZYK Gérard;1996;FRANCE;2023;44;4;1,8;;;;;;;;;;;;;;;;;;;
11 COMMANDEMENTS (LES);DESAGNAT François;2003;FRANCE;2024;44;38;2,4;;;;;;;;;;;;;;;;;;;
TATIE DANIELLE;CHATILIEZ Etienne;1989;FRANCE;2024;43;31;1,3;;;;;;;;;;;;;;;;;;;
IL ETAIT UNE FOIS DANS L OUEST;LEONE Sergio;1969;ITALIE;2024;43;28;1,2;;;;;;;;;;;;;;;;;;;
NIKITA;BESSON Luc;1989;FRANCE;2021;43;31;1,4;;;;;;;;;;;;;;;;;;;
TRAVERSEE DE PARIS (LA);AUTANT-LARA Claude;1956;FRANCE / Italie;2019;43;21;0,8;;;;;;;;;;;;;;;;;;;
