titre;réalisateur(s);année de production;groupe de nationalité2;année de dernière diffusion;nb. de diffusions;dont en première partie de soirée;nb. moyen de diffusions par an;titre_norm;imdb_genres_brut;genre;match_score;imdb_tconst;imdb_title;imdb_year;match_field
DELPHINE 1-YVAN 0;FARRUGIA Dominique;1996;FRANCE;2024;75;5;2,9;DELPHINE 1 YVAN 0;Comedy,Romance;Comédie;100.0;tt0116069;Delphine 1, Yvan 0;1996;primaryTitle
DOUZE TRAVAUX D ASTERIX (LES);GOSCINNY René;1975;FRANCE;2024;63;48;1,7;DOUZE TRAVAUX D ASTERIX;Drama,Family,Sport;Drame;90.0;tt11231254;AvA;2016;primaryTitle
ASTERIX ET CLEOPATRE;GOSCINNY René;1968;FRANCE;2024;62;47;1,5;ASTERIX ET CLEOPATRE;Drama,Thriller;Drame;90.0;tt0251797;Leo;2000;primaryTitle
KIRIKOU ET LES BETES SAUVAGES;OCELOT Michel;2004;FRANCE;2021;61;23;3,6;KIRIKOU ET LES BETES SAUVAGES;Adventure,Animation,Family;Animation;96.55172413793103;tt0455142;Kirikou and the Wild Beasts;2005;originalTitle
DEUX HEURES MOINS LE QUART AVANT J.C.;YANNE Jean;1982;FRANCE;2024;60;35;1,6;DEUX HEURES MOINS LE QUART AVANT J C;Comedy;Comédie;92.28571428571428;tt0083824;Quarter to Two Before Jesus Christ;1982;originalTitle
ASTERIX LE GAULOIS;GOSCINNY René;1967;FRANCE;2024;60;43;1,4;ASTERIX LE GAULOIS;Action,Adventure,Animation;Animation;94.44444444444444;tt0061369;Asterix the Gaul;1967;originalTitle
ASTERIX ET LA SURPRISE DE CESAR;BRIZZI Gaëtan;1985;FRANCE;2024;59;54;2,3;ASTERIX ET LA SURPRISE DE CESAR;Adventure,Animation,Comedy;Animation;93.5483870967742;tt0088748;Asterix Versus Caesar;1985;originalTitle
ASTERIX CHEZ LES BRETONS;BRIZZI Gaëtan;1985;FRANCE;2024;58;52;2,2;ASTERIX CHEZ LES BRETONS;Adventure,Animation,Comedy;Animation;95.83333333333334;tt0090667;Asterix in Britain;1986;originalTitle
TINTIN ET LE LAC AUX REQUINS;CHARLIER Jean-Michel;1972;BELGIQUE / FRANCE;2024;57;24;2,0;TINTIN ET LE LAC AUX REQUINS;Adventure,Animation,Crime;Animation;100.0;tt0069383;Tintin and the Lake of Sharks;1972;originalTitle
SCOUT TOUJOURS;JUGNOT Gérard;1985;FRANCE;2024;57;38;1,5;SCOUT TOUJOURS;Comedy;Comédie;100.0;tt0089977;Scout toujours...;1985;primaryTitle
